id,object,ihc_label,object_id,pos_x,pos_y,pos_z,volume,localization,dist_to_plane
01,PSDs,5,35,82.283203125,69.63980102539062,14.258700370788574,0.626308023929596,modiolar,4.856075746452878
01,PSDs,7,36,69.4574966430664,81.51529693603516,6.5313401222229,0.35487100481987,pillar,6.057831251657671
01,PSDs,6,37,74.59439849853516,76.47679901123047,6.363029956817627,0.3798849880695343,pillar,3.0145564180098137
01,PSDs,5,38,82.94599914550781,68.16709899902344,10.742799758911133,0.3767780065536499,modiolar,1.6241370313542727
01,PSDs,6,39,78.81749725341797,71.45429992675781,12.553400039672852,0.319366991519928,modiolar,1.735149047720159
01,PSDs,6,40,79.32019805908203,72.643798828125,9.303730010986328,0.39596399664878845,pillar,0.30198210773845313
01,PSDs,7,41,70.61109924316406,77.86990356445312,7.725289821624756,0.45201799273490906,pillar,6.160417156252476
01,PSDs,6,42,77.6176986694336,70.79170227050781,8.59296989440918,0.37007999420166016,pillar,2.286429437256999
01,PSDs,6,43,76.689697265625,71.21549987792969,10.142200469970703,0.5439159870147705,pillar,1.1800454367987652
01,PSDs,5,44,83.59390258789062,64.54199981689453,9.29226016998291,0.36188799142837524,modiolar,0.10655945712314688
01,PSDs,4,45,88.6697998046875,58.79600143432617,11.320300102233887,0.44254299998283386,modiolar,2.5458789239871344
01,PSDs,4,46,87.23380279541016,59.467201232910156,13.629199981689453,0.5769709944725037,modiolar,3.9174108100792315
01,PSDs,5,47,82.92739868164062,65.80789947509766,9.05282974243164,0.2110310047864914,pillar,0.20874417673319745
01,PSDs,4,48,88.23699951171875,60.178001403808594,11.150300025939941,0.5467950105667114,modiolar,2.3778264353854968
01,PSDs,5,49,83.05439758300781,63.85609817504883,14.669899940490723,0.47809898853302,modiolar,4.906623616757815
01,PSDs,6,50,78.65409851074219,71.61730194091797,6.770870208740234,0.36736100912094116,pillar,3.077263605405652
01,PSDs,4,52,85.90599822998047,61.03770065307617,8.104840278625488,0.3942039906978607,pillar,1.2678780204073918
01,PSDs,4,53,87.84649658203125,59.105098724365234,9.290769577026367,0.4768899977207184,modiolar,0.4389250578408491
01,PSDs,4,55,87.27030181884766,56.605098724365234,8.622679710388184,0.34179601073265076,pillar,0.7641684320305387
01,PSDs,3,56,90.62220001220703,52.415401458740234,11.346400260925293,0.32330700755119324,modiolar,2.4859049682814724
01,PSDs,3,57,89.66950225830078,53.5885009765625,11.940699577331543,0.5631620287895203,modiolar,2.949646280401746
01,PSDs,4,58,88.03230285644531,54.974700927734375,12.541999816894531,0.33324599266052246,modiolar,2.7547511975959726
01,PSDs,3,59,89.18119812011719,53.078399658203125,15.154600143432617,0.5750880241394043,modiolar,5.58750062402253
01,PSDs,6,60,74.17970275878906,72.01519775390625,6.451169967651367,0.6918410062789917,pillar,4.8899778468838715
01,PSDs,4,61,87.82080078125,56.0181999206543,12.018600463867188,0.44252100586891174,modiolar,2.3449403435215577
01,PSDs,5,62,79.07649993896484,63.33150100708008,7.256730079650879,0.6240969896316528,pillar,3.415796471158515
01,PSDs,3,63,88.20989990234375,53.01729965209961,10.10099983215332,0.5742059946060181,modiolar,0.6360097676908885
01,PSDs,1,64,97.25199890136719,42.73870086669922,13.650500297546387,0.42974498867988586,modiolar,2.912069089961499
01,PSDs,4,65,83.00080108642578,60.563899993896484,7.123479843139648,0.42204299569129944,pillar,3.605667313751939
01,PSDs,4,66,84.98809814453125,54.56290054321289,9.028440475463867,0.21987199783325195,pillar,1.8197666415628868
01,PSDs,1,67,98.74949645996094,40.18299865722656,11.299300193786621,0.26789501309394836,modiolar,0.6306243533025995
01,PSDs,1,68,100.26399993896484,38.56520080566406,11.767600059509277,0.3248650133609772,modiolar,1.1054850301707673
01,PSDs,1,69,98.55229949951172,39.42559814453125,15.01609992980957,0.5451340079307556,modiolar,4.393229191973456
01,PSDs,5,70,77.24099731445312,64.86370086669922,5.7402801513671875,0.5604130029678345,pillar,5.28777578899538
01,PSDs,1,71,98.08039855957031,41.38819885253906,11.939000129699707,0.3365910053253174,modiolar,1.2327280626539907
01,PSDs,6,72,72.47699737548828,68.8604965209961,7.497859954833984,0.40448498725891113,pillar,5.933757141423629
01,PSDs,2,73,94.35929870605469,45.99789810180664,10.204999923706055,0.2510409951210022,modiolar,1.868902293608277
01,PSDs,2,74,95.08370208740234,45.21659851074219,11.635499954223633,0.5907469987869263,modiolar,3.048708343181503
01,PSDs,3,75,88.52400207519531,50.790000915527344,14.047100067138672,0.6167299747467041,modiolar,3.8432543672162525
01,PSDs,2,76,93.2135009765625,45.40530014038086,9.487070083618164,0.4213100075721741,modiolar,0.6568308638883513
01,PSDs,1,77,97.43350219726562,40.78820037841797,10.718299865722656,0.3386499881744385,modiolar,0.09571975106316624
01,PSDs,3,78,86.08820343017578,52.72169876098633,9.781869888305664,0.7338719964027405,pillar,0.467361411826731
